OBJECTID,county,trust_name,lease_status,lessee,township,range,section,aliquot,acres,trs - Copy
144920,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,8,ALL,640,18N - 14E - 8
144921,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,12,LOTS 1 THRU 4 W2E2 W2,635.52,18N - 14E - 12
144923,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,13E,12,ALL,640,18N - 13E - 12
144926,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,34,N2 SW N2SE SWSE AND SESE LY NWLY FROM C/L OF STATE HIGHWAY 87,630.4,18N - 14E - 34
144929,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,13E,34,ALL,640,18N - 13E - 34
144935,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,18,ALL,640,18N - 14E - 18
144938,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,14,ALL,640,18N - 14E - 14
144939,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,13E,14,ALL,640,18N - 13E - 14
144945,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,22,ALL,640,18N - 14E - 22
144946,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,13E,22,ALL,640,18N - 13E - 22
144947,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,24,LOTS 1 THRU 4 W2E2 W2,637.48,18N - 14E - 24
144948,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,20,ALL,640,18N - 14E - 20
144949,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,13E,24,ALL,640,18N - 13E - 24
144955,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,15E,30,NE S2NW S2 LY SELY FROM C/L OF STATE HIGHWAY 87,468.84,18N - 15E - 30
144956,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,13E,28,E2 E2SW SWSW AND E2NW SWNW NWSW LY SELY OF FENCE,544,18N - 13E - 28
144959,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,26,ALL,640,18N - 14E - 26
144960,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,13E,26,ALL,640,18N - 13E - 26
144961,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,30,ALL,640,18N - 14E - 30
144964,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,18N,14E,28,ALL,640,18N - 14E - 28
144965,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,11E,20,SESW S2SE,120,19N - 11E - 20
144966,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,14E,34,ALL,640,19N - 14E - 34
144971,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Arizona Game and Fish Commission,19N,11E,26,ALL,640,19N - 11E - 26
144972,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,19N,11E,28,N2 SW NW2SE,560,19N - 11E - 28
144974,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,4,N2 SW AND SE LY NWLY FROM C/L OF STATE HIGHWAY 87,574.72,17N - 14E - 4
144975,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,6,LOTS 3 4 E2 SENW E2SW LY SELY OF FENCE,396.52,17N - 13E - 6
144976,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,4,ALL,640,17N - 13E - 4
144979,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,15E,8,ALL,640,17N - 15E - 8
144980,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,10,ALL,640,17N - 14E - 10
144981,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,12,ALL,640,17N - 14E - 12
144982,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,8,N2 SW N2SE LY NWLY FROM C/L OF STATE HIGHWAY 87,459.04,17N - 14E - 8
144983,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,12,ALL,640,17N - 13E - 12
144986,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,8,ALL,640,17N - 13E - 8
144987,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,10,ALL,640,17N - 13E - 10
144989,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,13E,30,LOTS 1 THRU 4 E2W2 E2,664.52,17N - 13E - 30
144990,Coconino,PERM COMMON SCHOOLS (INDMTY SELEC),Y,Hopi Tribe,17N,14E,34,LOTS 1 THRU 4 N2 N2S2,586.59,17N - 14E - 34
