state,managing_agency,rights_type,state_enabling_act,OBJECTID,TRACTID,county,township,range,section,aliquot,TRUST,,trust_name,net_acres,acres,lease_status,lessee
ND,Commissioner of University and School Lands,Subsurface,"471 Stat. 676-684, esp. 679-81 (1889)",127223,1311860,DUNN,150,91,35,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,115.200000000000003,115.200000000000003,Y,NORTHERN OIL AND GAS INC
ND,Commissioner of University and School Lands,Subsurface,"472 Stat. 676-684, esp. 679-81 (1889)",127224,2909540,MERCER,147,88,36,MISSOURI RIVER IN NE4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,88.840000000000003,88.840000000000003,,N/A
ND,Commissioner of University and School Lands,Subsurface,"473 Stat. 676-684, esp. 679-81 (1889)",127257,1308990,DUNN,148,95,16,"LOTS 1,2",A,COMMON SCHOOLS,COMMON SCHOOLS,75.140000000000001,75.140000000000001,Y,ENERPLUS RESOURCES (USA) CORPORATION
ND,Commissioner of University and School Lands,Subsurface,"474 Stat. 676-684, esp. 679-81 (1889)",127316,1309720,DUNN,149,91,6,MISSOURI RIVER IN NW4,R,SOVEREIGN LANDS,SOVEREIGN LANDS,26.079999999999998,26.079999999999998,Y,"XTO HOLDINGS, LLC"
ND,Commissioner of University and School Lands,Subsurface,"475 Stat. 676-684, esp. 679-81 (1889)",127375,2808130,MCLEAN,148,88,12,NW4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"476 Stat. 676-684, esp. 679-81 (1889)",127380,2808120,MCLEAN,148,88,12,N2NE4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,40.000000000000000,80.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"477 Stat. 676-684, esp. 679-81 (1889)",127381,2807760,MCLEAN,148,87,7,"E2NW4, LOTS 1,2",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,72.840000000000003,145.680000000000007,,N/A
ND,Commissioner of University and School Lands,Subsurface,"478 Stat. 676-684, esp. 679-81 (1889)",127455,1307620,DUNN,146,91,12,SW4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,80.000000000000000,160.000000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"479 Stat. 676-684, esp. 679-81 (1889)",127460,2906670,MERCER,146,90,7,"E2SW4, LOTS 3,4",L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,7.760000000000000,155.250000000000000,,N/A
ND,Commissioner of University and School Lands,Subsurface,"480 Stat. 676-684, esp. 679-81 (1889)",127473,2907650,MERCER,146,90,8,E2SW4,L,BANK OF NORTH DAKOTA,BANK OF NORTH DAKOTA,40.000000000000000,80.000000000000000,,N/A
