state,managing_agency,rights_type,state_enabling_act,objectid,township,range,section,county,bene_cd,bene_abrev,aliquot,acres
UT,Trust Lands Administration,Surface,169 Stat. 107-110 (1894),291952,5,20,32,Uintah,10,SCH,"LOTS 1(45.11), 2(44.84), 3(44.58), 4(44.31), N2, N2S2 [ALL]",658.840000000000032
UT,Trust Lands Administration,Surface,170 Stat. 107-110 (1894),292007,9,20,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,171 Stat. 107-110 (1894),292014,1,10,12,Wasatch,10,SCH,"SW4, S2SE4",240.000000000000000
UT,Trust Lands Administration,Surface,172 Stat. 107-110 (1894),292057,9,21,31,Uintah,10,SCH,LOT 3 (NW4SW4),50.469999999999999
UT,Trust Lands Administration,Surface,173 Stat. 107-110 (1894),292061,16,21,5,Grand,10,SCH,SW4SE4,40.000000000000000
UT,Trust Lands Administration,Surface,174 Stat. 107-110 (1894),292067,1,8,18,Duchesne,10,SCH,LOT 4 [SW4SW4],35.090000000000003
UT,Trust Lands Administration,Surface,175 Stat. 107-110 (1894),292113,1,10,10,Wasatch,10,SCH,"S2SW4, SE4, SE4NE4",280.000000000000000
UT,Trust Lands Administration,Surface,176 Stat. 107-110 (1894),292120,7,24,2,Uintah,10,SCH,ALL,884.399999999999977
UT,Trust Lands Administration,Surface,177 Stat. 107-110 (1894),292136,10,22,25,Uintah,10,SCH,S2NE4,80.000000000000000
UT,Trust Lands Administration,Surface,178 Stat. 107-110 (1894),292139,1,8,18,Duchesne,10,SCH,"LOTS 1(35.01), 2(35.04), 3(35.06), E2, E2W2 [LOTS AKA W2NW4, NW4SW4]",585.110000000000014
UT,Trust Lands Administration,Surface,179 Stat. 107-110 (1894),292168,9,17,36,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,180 Stat. 107-110 (1894),292188,14,16,36,Carbon,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,181 Stat. 107-110 (1894),292193,1,9,27,Duchesne,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,182 Stat. 107-110 (1894),292202,1,9,31,Wasatch,10,SCH,"LOTS 1-4, E2, E2W2 (ALL)",630.080000000000041
UT,Trust Lands Administration,Surface,183 Stat. 107-110 (1894),292210,6,22,10,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,184 Stat. 107-110 (1894),292230,10,22,25,Uintah,10,SCH,S2SE4,80.000000000000000
UT,Trust Lands Administration,Surface,185 Stat. 107-110 (1894),292241,6,22,5,Uintah,10,SCH,LOT 3 (S2S2NE4NW4),7.560000000000000
UT,Trust Lands Administration,Surface,186 Stat. 107-110 (1894),292244,9,25,33,Uintah,10,SCH,NE4,160.000000000000000
UT,Trust Lands Administration,Surface,187 Stat. 107-110 (1894),292250,6,22,6,Uintah,10,SCH,S2NE4,80.000000000000000
UT,Trust Lands Administration,Surface,188 Stat. 107-110 (1894),292255,5,22,34,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,189 Stat. 107-110 (1894),292264,8,25,16,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,190 Stat. 107-110 (1894),292268,6,23,32,Uintah,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,191 Stat. 107-110 (1894),292269,15,22,32,Grand,10,SCH,"LOTS 1(34.26), 2(34.28), 3(34.28), 4(34.30), S2 [ALL]",457.120000000000005
UT,Trust Lands Administration,Surface,192 Stat. 107-110 (1894),292270,5,21,32,Uintah,10,SCH,"LOTS 1(40.06), 2(40.69), 3(41.36), 4(41.51), N2, N2S2 [ALL]",643.620000000000005
UT,Trust Lands Administration,Surface,193 Stat. 107-110 (1894),292292,9,22,30,Uintah,10,SCH,SE4SE4,40.000000000000000
UT,Trust Lands Administration,Surface,194 Stat. 107-110 (1894),292295,8,16,36,Duchesne,10,SCH,ALL,640.000000000000000
UT,Trust Lands Administration,Surface,195 Stat. 107-110 (1894),292302,6,22,6,Uintah,10,SCH,SE4NW4,40.000000000000000
UT,Trust Lands Administration,Surface,196 Stat. 107-110 (1894),292321,10,21,4,Uintah,10,SCH,LOT 2 (NW4NE4),42.280000000000001
UT,Trust Lands Administration,Surface,197 Stat. 107-110 (1894),292336,9,25,10,Uintah,10,SCH,"S2N2, S2",480.000000000000000
UT,Trust Lands Administration,Surface,198 Stat. 107-110 (1894),292347,9,22,31,Uintah,10,SCH,SE4SW4,40.000000000000000
